"確定病名","發病年份","發病月份","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"4930","登革熱","2014","12","屏東縣","東港鎮","M","否","70+","1"
"4931","登革熱","2014","12","屏東縣","潮州鎮","F","否","35-39","1"
"4932","登革熱","2014","12","高雄市","三民區","F","否","10-14","7"
"4933","登革熱","2014","12","高雄市","大社區","F","否","35-39","1"
"4934","登革熱","2014","12","高雄市","大社區","F","否","50-54","1"
"4935","登革熱","2014","12","高雄市","仁武區","M","否","35-39","3"
"4936","登革熱","2014","12","高雄市","前鎮區","F","否","50-54","4"
"4937","登革熱","2014","12","高雄市","前鎮區","F","是","40-44","1"
"4938","登革熱","2014","12","高雄市","梓官區","F","否","45-49","1"
"4939","登革熱","2014","12","高雄市","鼓山區","F","否","65-69","5"
"4940","登革熱","2014","12","高雄市","橋頭區","M","否","35-39","2"
"4941","登革熱","2014","5","台北市","內湖區","F","是","25-29","1"
"4942","登革熱","2014","5","高雄市","前鎮區","F","否","55-59","1"
"4943","登革熱","2014","6","高雄市","新興區","M","否","55-59","2"
"4944","登革熱","2014","6","高雄市","鳳山區","M","否","10-14","1"
"4945","登革熱","2014","6","新北市","金山區","M","是","25-29","1"
"4946","登革熱","2014","7","台南市","永康區","M","否","55-59","1"
"4947","登革熱","2014","7","高雄市","三民區","M","否","55-59","1"
"4948","登革熱","2014","7","高雄市","小港區","F","否","20-24","1"
"4949","登革熱","2014","8","桃園市","中壢區","F","否","15-19","1"
"4950","登革熱","2014","8","高雄市","苓雅區","M","否","60-64","11"
"4951","登革熱","2010","10","高雄市","新興區","F","否","55-59","7"
"4952","登革熱","2010","10","高雄市","新興區","M","否","50-54","2"
"4953","登革熱","2010","10","高雄市","新興區","M","否","60-64","2"
"4954","登革熱","2010","11","台中市","后里區","M","是","55-59","1"
"4955","登革熱","2010","11","台南市","中西區","F","否","55-59","3"
"4956","登革熱","2010","11","台南市","中西區","M","否","45-49","1"
"4957","登革熱","2010","11","高雄市","苓雅區","F","否","20-24","2"
"4958","登革熱","2010","11","高雄市","鳥松區","M","否","30-34","1"
"4959","登革熱","2010","11","高雄市","楠梓區","F","否","40-44","1"
"4960","登革熱","2010","11","高雄市","路竹區","M","否","20-24","1"
"4961","登革熱","2010","12","台北市","大安區","M","是","30-34","1"
"4962","登革熱","2010","12","台南市","中西區","M","是","45-49","1"
"4963","登革熱","2010","12","台南市","永康區","F","否","30-34","2"
"4964","登革熱","2010","12","新北市","中和區","F","是","30-34","1"
"4965","登革熱","2010","7","桃園市","龜山區","F","是","50-54","1"
"4966","登革熱","2010","8","台南市","永康區","M","是","40-44","1"
"4967","登革熱","2010","8","高雄市","仁武區","M","是","45-49","1"
"4968","登革熱","2010","8","高雄市","鼓山區","F","否","35-39","3"
"4969","登革熱","2010","8","新竹市","北區","F","是","35-39","1"
"4970","登革熱","2010","9","台南市","南區","F","否","65-69","1"
"4971","登革熱","2010","9","高雄市","三民區","F","否","30-34","5"
"4972","登革熱","2010","9","高雄市","三民區","M","否","35-39","6"
"4973","登革熱","2010","9","嘉義市","東區","M","是","45-49","1"
"4974","登革熱","2011","10","屏東縣","東港鎮","M","否","45-49","3"
"4975","登革熱","2011","10","澎湖縣","馬公市","M","否","35-39","1"
"4976","登革熱","2011","11","屏東縣","新園鄉","F","否","40-44","1"
"4977","登革熱","2011","11","高雄市","小港區","M","否","20-24","1"
"4978","登革熱","2011","11","高雄市","鳳山區","F","否","70+","2"
"4979","登革熱","2011","11","澎湖縣","馬公市","M","否","50-54","1"
"4980","登革熱","2011","12","屏東縣","東港鎮","F","否","30-34","2"
"4981","登革熱","2011","12","高雄市","三民區","F","否","5-9","1"
"4982","登革熱","2011","12","高雄市","三民區","M","否","20-24","1"
"4983","登革熱","2011","12","高雄市","楠梓區","M","否","50-54","1"
"4984","登革熱","2011","8","桃園市","桃園區","M","是","55-59","1"
"4985","登革熱","2011","8","高雄市","三民區","M","是","25-29","1"
"4986","登革熱","2011","8","高雄市","苓雅區","F","否","40-44","4"
"4987","登革熱","2011","8","高雄市","苓雅區","M","否","30-34","1"
"4988","登革熱","2011","9","高雄市","三民區","M","否","15-19","1"
"4989","登革熱","2011","9","新北市","泰山區","M","否","45-49","1"
"4990","登革熱","2012","1","高雄市","三民區","F","否","40-44","1"
"4991","登革熱","2012","10","台南市","中西區","M","否","65-69","2"
"4992","登革熱","2012","10","台南市","善化區","M","否","35-39","1"
"4993","登革熱","2012","10","高雄市","林園區","M","否","55-59","3"
"4994","登革熱","2012","10","高雄市","林園區","M","否","70+","1"
"4995","登革熱","2012","10","高雄市","前鎮區","M","否","65-69","1"
"4996","登革熱","2012","11","台南市","永康區","F","否","45-49","1"
"4997","登革熱","2012","11","台南市","安南區","M","否","35-39","1"
"4998","登革熱","2012","11","台南市","南區","M","否","40-44","2"
"4999","登革熱","2012","11","高雄市","大寮區","F","否","40-44","1"
"5000","登革熱","2012","11","高雄市","苓雅區","F","否","45-49","1"
"5001","登革熱","2012","11","高雄市","苓雅區","F","否","60-64","2"
"5002","登革熱","2012","11","新北市","中和區","F","否","40-44","1"
"5003","登革熱","2012","7","新北市","淡水區","M","是","10-14","1"
"5004","登革熱","2012","8","台北市","大安區","F","是","35-39","1"
"5005","登革熱","2012","8","台南市","安南區","M","否","60-64","1"
"5006","登革熱","2012","8","台南市","南區","F","否","55-59","2"
"5007","登革熱","2012","8","高雄市","鼓山區","M","否","55-59","1"
"5008","登革熱","2012","9","台北市","信義區","F","是","45-49","1"
"5009","登革熱","2012","9","台南市","永康區","F","否","45-49","3"
"5010","登革熱","2012","9","台南市","安南區","M","是","25-29","1"
"5011","登革熱","2012","9","桃園市","八德區","M","是","25-29","1"
"5012","登革熱","2012","9","高雄市","前鎮區","F","否","70+","1"
"5013","登革熱","2013","10","屏東縣","萬丹鄉","M","否","60-64","1"
"5014","登革熱","2013","11","屏東縣","萬丹鄉","F","否","35-39","1"
"5015","登革熱","2013","6","屏東縣","新園鄉","F","否","55-59","2"
"5016","登革熱","2013","6","彰化縣","伸港鄉","F","是","25-29","1"
"5017","登革熱","2013","7","新北市","淡水區","F","是","20-24","1"
"5018","登革熱","2013","8","桃園市","中壢區","M","是","30-34","1"
"5019","登革熱","2013","9","屏東縣","萬巒鄉","M","否","20-24","1"
"5020","登革熱","2014","10","台北市","信義區","M","是","35-39","1"
"5021","登革熱","2014","10","台南市","南區","F","是","60-64","1"
"5022","登革熱","2014","10","台南市","歸仁區","F","否","10-14","1"
"5023","登革熱","2014","10","高雄市","大社區","M","否","65-69","3"
"5024","登革熱","2014","10","高雄市","小港區","M","否","10-14","11"
"5025","登革熱","2014","10","高雄市","左營區","M","否","70+","11"
"5026","登革熱","2014","10","高雄市","前金區","F","否","30-34","3"
"5027","登革熱","2014","10","高雄市","前金區","M","否","35-39","1"
"5028","登革熱","2014","10","高雄市","鳥松區","F","否","50-54","4"
"5029","登革熱","2014","10","高雄市","新興區","M","否","25-29","11"
"5030","登革熱","2014","10","高雄市","鳳山區","F","否","30-34","38"
"5031","登革熱","2014","11","台北市","中正區","F","是","45-49","1"
"5032","登革熱","2014","11","台南市","東區","M","否","15-19","1"
"5033","登革熱","2014","11","屏東縣","林邊鄉","F","否","25-29","1"
"5034","登革熱","2014","11","屏東縣","萬丹鄉","F","否","35-39","1"
"5035","登革熱","2014","11","高雄市","三民區","M","否","4","2"
"5036","登革熱","2014","11","高雄市","大社區","F","否","30-34","2"
"5037","登革熱","2014","11","高雄市","仁武區","M","否","20-24","7"
"5038","登革熱","2014","11","高雄市","岡山區","M","否","10-14","2"
"5039","登革熱","2014","11","高雄市","苓雅區","M","否","55-59","24"
"5040","登革熱","2014","11","高雄市","梓官區","F","否","25-29","1"
"5041","登革熱","2014","11","高雄市","新興區","F","否","70+","7"
"5042","登革熱","2014","11","高雄市","新興區","M","否","55-59","5"
"5043","登革熱","2014","11","高雄市","旗山區","F","否","65-69","1"
"5044","登革熱","2014","11","高雄市","鳳山區","M","否","50-54","30"
"5045","登革熱","2014","11","高雄市","燕巢區","M","否","60-64","2"
"5046","登革熱","2014","11","高雄市","鹽埕區","F","否","20-24","1"
"5047","登革熱","2014","12","屏東縣","內埔鄉","M","否","45-49","1"
"5048","登革熱","2014","12","高雄市","小港區","F","否","5-9","1"
"5049","登革熱","2014","12","高雄市","小港區","M","否","30-34","3"
"5050","登革熱","2010","9","台南市","中西區","F","否","5-9","1"
"5051","登革熱","2010","9","桃園市","中壢區","F","是","20-24","1"
"5052","登革熱","2010","9","高雄市","三民區","F","否","45-49","6"
"5053","登革熱","2010","9","高雄市","鼓山區","M","否","30-34","1"
"5054","登革熱","2011","10","台南市","中西區","M","否","45-49","1"
"5055","登革熱","2011","10","高雄市","苓雅區","M","否","40-44","1"
"5056","登革熱","2011","10","高雄市","新興區","M","否","60-64","1"
"5057","登革熱","2011","10","新北市","蘆洲區","M","否","60-64","1"
"5058","登革熱","2011","10","澎湖縣","馬公市","F","否","45-49","1"
"5059","登革熱","2011","11","台南市","中西區","M","否","15-19","1"
"5060","登革熱","2011","11","台南市","中西區","M","否","70+","1"
"5061","登革熱","2011","11","屏東縣","東港鎮","F","否","40-44","4"
"5062","登革熱","2011","11","高雄市","三民區","M","否","5-9","2"
"5063","登革熱","2011","12","高雄市","三民區","M","否","25-29","3"
"5064","登革熱","2011","12","高雄市","前鎮區","M","否","40-44","1"
"5065","登革熱","2011","12","基隆市","中山區","M","是","40-44","1"
"5066","登革熱","2011","2","桃園市","平鎮區","F","是","25-29","1"
"5067","登革熱","2011","7","台南市","永康區","M","是","25-29","1"
"5068","登革熱","2011","8","台北市","士林區","F","否","70+","1"
"5069","登革熱","2011","8","台南市","中西區","F","是","35-39","1"
"5070","登革熱","2011","8","桃園市","平鎮區","F","是","30-34","1"
"5071","登革熱","2011","8","高雄市","新興區","M","否","45-49","1"
"5072","登革熱","2011","9","高雄市","三民區","F","否","30-34","2"
"5073","登革熱","2011","9","高雄市","苓雅區","M","否","65-69","2"
"5074","登革熱","2011","9","高雄市","新興區","F","否","15-19","1"
"5075","登革熱","2011","9","高雄市","新興區","M","否","55-59","1"
"5076","登革熱","2012","10","台南市","中西區","M","否","40-44","1"
"5077","登革熱","2012","11","台南市","北區","F","否","70+","2"
"5078","登革熱","2012","11","台南市","北區","M","否","10-14","1"
"5079","登革熱","2012","11","桃園市","桃園區","F","是","30-34","1"
"5080","登革熱","2012","11","彰化縣","彰化市","M","是","35-39","1"
"5081","登革熱","2012","12","台南市","南區","M","否","30-34","1"
"5082","登革熱","2012","12","高雄市","鳳山區","F","否","55-59","1"
"5083","登革熱","2012","5","新北市","永和區","M","是","25-29","1"
"5084","登革熱","2012","7","台南市","安南區","M","否","35-39","1"
"5085","登革熱","2012","7","台南市","南區","F","否","55-59","2"
"5086","登革熱","2012","7","台南市","南區","M","否","10-14","1"
"5087","登革熱","2012","7","苗栗縣","竹南鎮","F","是","45-49","1"
"5088","登革熱","2012","8","台中市","大雅區","M","是","35-39","1"
"5089","登革熱","2012","8","新竹縣","竹北市","F","是","25-29","1"
"5090","登革熱","2012","9","台南市","中西區","M","否","45-49","1"
"5091","登革熱","2012","9","台南市","北區","F","否","45-49","3"
"5092","登革熱","2013","10","屏東縣","屏東市","M","否","20-24","2"
"5093","登革熱","2013","12","台南市","安定區","M","是","25-29","1"
"5094","登革熱","2013","12","屏東縣","萬丹鄉","F","否","45-49","1"
"5095","登革熱","2013","4","屏東縣","春日鄉","M","否","15-19","2"
"5096","登革熱","2013","6","桃園市","大園區","M","是","65-69","1"
"5097","登革熱","2013","6","高雄市","鳳山區","M","是","50-54","1"
"5098","登革熱","2013","7","屏東縣","屏東市","F","否","70+","1"
"5099","登革熱","2013","7","桃園市","蘆竹區","M","是","55-59","1"
"5100","登革熱","2013","8","台北市","大安區","M","否","10-14","1"
"5101","登革熱","2013","8","屏東縣","屏東市","F","否","50-54","1"
"5102","登革熱","2013","8","桃園市","中壢區","F","是","4","1"
"5103","登革熱","2013","9","屏東縣","潮州鎮","M","否","40-44","1"
"5104","登革熱","2014","1","桃園市","蘆竹區","M","是","35-39","1"
"5105","登革熱","2014","10","台中市","西屯區","F","是","30-34","1"
"5106","登革熱","2014","10","台南市","北區","M","否","45-49","1"
"5107","登革熱","2014","10","台南市","永康區","F","否","50-54","1"
"5108","登革熱","2014","10","高雄市","大樹區","F","否","40-44","2"
"5109","登革熱","2014","10","高雄市","永安區","M","否","60-64","1"
"5110","登革熱","2014","10","高雄市","前金區","F","否","40-44","1"
"5111","登革熱","2014","10","高雄市","前鎮區","F","否","40-44","30"
"5112","登革熱","2014","10","高雄市","前鎮區","F","否","45-49","30"
"5113","登革熱","2014","10","高雄市","新興區","F","否","65-69","7"
"5114","登革熱","2014","10","高雄市","路竹區","F","否","70+","2"
"5115","登革熱","2014","10","高雄市","鼓山區","F","否","5-9","3"
"5116","登革熱","2014","10","高雄市","旗津區","F","否","45-49","3"
"5117","登革熱","2014","10","高雄市","橋頭區","M","否","45-49","2"
"5118","登革熱","2014","11","台中市","西屯區","M","是","25-29","1"
"5119","登革熱","2014","11","高雄市","大社區","M","否","15-19","3"
"5120","登革熱","2014","11","高雄市","大寮區","M","否","50-54","3"
"5121","登革熱","2014","11","高雄市","大寮區","M","否","5-9","2"
"5122","登革熱","2014","11","高雄市","岡山區","F","否","50-54","1"
"5123","登革熱","2014","11","高雄市","林園區","F","否","35-39","2"
"5124","登革熱","2014","11","高雄市","苓雅區","F","否","25-29","14"
"5125","登革熱","2014","11","高雄市","鳥松區","M","否","65-69","4"
"5126","登革熱","2014","11","高雄市","楠梓區","F","否","20-24","8"
"5127","登革熱","2014","11","高雄市","鼓山區","F","否","60-64","16"
"5128","登革熱","2014","11","高雄市","鳳山區","F","否","4","1"
"5129","登革熱","2014","12","台中市","太平區","F","否","55-59","1"
"5130","登革熱","2014","12","台南市","東區","M","否","55-59","1"
"5131","登革熱","2014","12","高雄市","三民區","F","否","4","1"
"5132","登革熱","2014","12","高雄市","三民區","M","否","40-44","11"
"5133","登革熱","2014","12","高雄市","大寮區","M","否","25-29","2"
"5134","登革熱","2014","12","高雄市","大樹區","M","否","15-19","1"
"5135","登革熱","2014","12","高雄市","大樹區","M","否","70+","1"
"5136","登革熱","2014","12","高雄市","左營區","F","否","70+","3"
"5137","登革熱","2014","12","高雄市","前鎮區","M","否","15-19","1"
"5138","登革熱","2014","12","高雄市","前鎮區","M","否","70+","1"
"5139","登革熱","2014","12","高雄市","鼓山區","F","否","10-14","2"
"5140","登革熱","2014","12","高雄市","鹽埕區","F","否","50-54","1"
"5141","登革熱","2014","2","高雄市","三民區","M","是","25-29","1"
"5142","登革熱","2014","4","嘉義市","西區","M","是","20-24","1"
"5143","登革熱","2014","7","高雄市","大寮區","M","否","15-19","1"
"5144","登革熱","2014","7","高雄市","苓雅區","M","否","20-24","4"
"5145","登革熱","2014","7","高雄市","苓雅區","M","否","70+","3"
"5146","登革熱","2014","7","高雄市","鼓山區","M","否","65-69","1"
"5147","登革熱","2014","8","高雄市","仁武區","M","否","60-64","1"
"5148","登革熱","2014","8","高雄市","前鎮區","M","否","10-14","6"
"5149","登革熱","2010","8","高雄市","鼓山區","F","否","25-29","2"
"5150","登革熱","2010","9","台南市","永康區","F","否","30-34","1"
"5151","登革熱","2010","9","高雄市","三民區","M","否","65-69","4"
"5152","登革熱","2010","9","高雄市","新興區","M","否","55-59","1"
"5153","登革熱","2011","10","台北市","中正區","F","否","50-54","1"
"5154","登革熱","2011","10","高雄市","三民區","F","否","15-19","3"
"5155","登革熱","2011","10","高雄市","三民區","F","否","30-34","1"
"5156","登革熱","2011","10","高雄市","仁武區","M","否","30-34","1"
"5157","登革熱","2011","10","高雄市","苓雅區","F","否","60-64","3"
"5158","登革熱","2011","10","高雄市","鳥松區","M","否","40-44","1"
"5159","登革熱","2011","10","高雄市","鳳山區","M","否","55-59","2"
"5160","登革熱","2011","10","澎湖縣","白沙鄉","F","否","40-44","1"
"5161","登革熱","2011","10","澎湖縣","馬公市","F","否","55-59","2"
"5162","登革熱","2011","10","澎湖縣","馬公市","M","否","10-14","1"
"5163","登革熱","2011","11","台南市","東區","F","是","50-54","1"
"5164","登革熱","2011","11","屏東縣","南州鄉","M","否","5-9","1"
"5165","登革熱","2011","11","高雄市","左營區","M","否","15-19","2"
"5166","登革熱","2011","11","高雄市","苓雅區","F","否","40-44","2"
"5167","登革熱","2011","11","高雄市","苓雅區","M","否","55-59","1"
"5168","登革熱","2011","11","高雄市","鳳山區","M","否","25-29","6"
"5169","登革熱","2011","11","澎湖縣","馬公市","F","否","30-34","2"
"5170","登革熱","2011","11","澎湖縣","馬公市","M","否","25-29","1"
"5171","登革熱","2011","12","台南市","安平區","F","否","50-54","1"
"5172","登革熱","2011","12","屏東縣","新園鄉","F","否","35-39","1"
"5173","登革熱","2011","12","高雄市","三民區","F","否","60-64","6"
"5174","登革熱","2011","12","高雄市","鳳山區","F","否","60-64","2"
"5175","登革熱","2011","12","高雄市","鳳山區","F","否","70+","3"
"5176","登革熱","2011","8","高雄市","前鎮區","M","否","35-39","1"
"5177","登革熱","2011","8","高雄市","鳳山區","M","否","10-14","1"
"5178","登革熱","2011","9","台北市","士林區","M","否","50-54","1"
"5179","登革熱","2011","9","桃園市","蘆竹區","M","是","60-64","1"
"5180","登革熱","2011","9","高雄市","三民區","F","否","25-29","1"
"5181","登革熱","2012","10","台南市","中西區","F","否","70+","1"
"5182","登革熱","2012","10","台南市","永康區","F","否","15-19","1"
"5183","登革熱","2012","10","台南市","安南區","F","否","55-59","6"
"5184","登革熱","2012","10","高雄市","小港區","M","否","20-24","1"
"5185","登革熱","2012","10","高雄市","前鎮區","F","否","30-34","2"
"5186","登革熱","2012","10","高雄市","前鎮區","M","否","35-39","1"
"5187","登革熱","2012","10","高雄市","前鎮區","M","否","50-54","1"
"5188","登革熱","2012","11","台南市","東區","M","否","15-19","1"
"5189","登革熱","2012","11","高雄市","三民區","M","否","20-24","1"
"5190","登革熱","2012","11","高雄市","前鎮區","M","否","65-69","1"
"5191","登革熱","2012","11","高雄市","苓雅區","M","否","55-59","1"
"5192","登革熱","2012","12","台南市","北區","F","否","50-54","2"
"5193","登革熱","2012","12","台南市","北區","F","否","65-69","1"
"5194","登革熱","2012","12","高雄市","鳳山區","F","否","60-64","1"
"5195","登革熱","2012","3","台北市","松山區","M","是","30-34","1"
"5196","登革熱","2012","4","桃園市","大溪區","M","是","70+","1"
"5197","登革熱","2012","7","台南市","安南區","M","否","15-19","1"
"5198","登革熱","2012","7","雲林縣","斗六市","F","是","30-34","1"
"5199","登革熱","2012","9","台南市","南區","F","否","30-34","3"
"5200","登革熱","2012","9","高雄市","左營區","F","否","55-59","1"
"5201","登革熱","2013","1","高雄市","前金區","F","否","30-34","1"
"5202","登革熱","2013","10","台北市","北投區","M","是","45-49","1"
"5203","登革熱","2013","10","屏東縣","屏東市","M","否","45-49","2"
"5204","登革熱","2013","10","屏東縣","萬丹鄉","F","否","35-39","1"
"5205","登革熱","2013","11","屏東縣","萬丹鄉","F","否","50-54","3"
"5206","登革熱","2013","11","屏東縣","萬丹鄉","M","否","40-44","2"
"5207","登革熱","2013","12","屏東縣","里港鄉","F","否","40-44","1"
"5208","登革熱","2013","12","屏東縣","屏東市","M","否","55-59","5"
"5209","登革熱","2013","12","高雄市","三民區","M","否","55-59","1"
"5210","登革熱","2013","12","高雄市","苓雅區","M","否","30-34","1"
"5211","登革熱","2013","12","新竹市","北區","M","是","30-34","1"
"5212","登革熱","2013","4","屏東縣","春日鄉","F","否","15-19","1"
"5213","登革熱","2013","6","桃園市","八德區","M","是","25-29","1"
"5214","登革熱","2013","7","花蓮縣","豐濱鄉","F","是","30-34","1"
"5215","登革熱","2013","9","台北市","松山區","F","是","30-34","1"
"5216","登革熱","2013","9","屏東縣","潮州鎮","F","否","70+","1"
"5217","登革熱","2013","9","高雄市","前鎮區","F","是","30-34","1"
"5218","登革熱","2014","10","台南市","東區","M","否","15-19","1"
"5219","登革熱","2014","10","高雄市","三民區","M","否","65-69","64"
"5220","登革熱","2014","10","高雄市","三民區","M","是","40-44","1"
"5221","登革熱","2014","10","高雄市","大社區","M","否","10-14","1"
"5222","登革熱","2014","10","高雄市","大寮區","F","否","5-9","1"
"5223","登革熱","2014","10","高雄市","內門區","M","否","55-59","1"
"5224","登革熱","2014","10","高雄市","林園區","M","否","35-39","1"
"5225","登革熱","2014","10","高雄市","前金區","F","否","70+","1"
"5226","登革熱","2014","10","高雄市","前金區","M","否","65-69","1"
"5227","登革熱","2014","10","高雄市","苓雅區","M","否","55-59","18"
"5228","登革熱","2014","10","高雄市","鳥松區","M","否","20-24","1"
"5229","登革熱","2014","10","高雄市","新興區","F","否","40-44","15"
"5230","登革熱","2014","10","高雄市","旗山區","F","否","65-69","2"
"5231","登革熱","2014","10","新北市","板橋區","F","是","35-39","1"
"5232","登革熱","2014","11","台南市","北區","M","否","20-24","1"
"5233","登革熱","2014","11","台南市","東區","M","否","70+","2"
"5234","登革熱","2014","11","台南市","關廟區","M","否","70+","2"
"5235","登革熱","2014","11","屏東縣","屏東市","M","否","65-69","1"
"5236","登革熱","2014","11","高雄市","大社區","F","否","20-24","3"
"5237","登革熱","2014","11","高雄市","岡山區","F","否","20-24","2"
"5238","登革熱","2014","11","高雄市","岡山區","M","否","25-29","1"
"5239","登革熱","2014","11","高雄市","林園區","F","否","70+","3"
"5240","登革熱","2014","11","高雄市","前鎮區","F","否","10-14","12"
"5241","登革熱","2014","11","高雄市","前鎮區","F","否","55-59","24"
"5242","登革熱","2014","11","高雄市","茄萣區","F","否","40-44","1"
"5243","登革熱","2014","11","高雄市","新興區","F","否","45-49","5"
"5244","登革熱","2014","11","高雄市","鼓山區","F","否","20-24","8"
"5245","登革熱","2014","11","高雄市","旗津區","F","否","20-24","1"
"5246","登革熱","2014","11","高雄市","鳳山區","F","否","3","1"
"5247","登革熱","2014","12","台南市","左鎮區","M","否","55-59","1"
"5248","登革熱","2010","9","高雄市","楠梓區","M","否","20-24","3"
"5249","登革熱","2010","9","高雄市","鳳山區","M","是","35-39","1"
"5250","登革熱","2010","9","新竹縣","新豐鄉","F","是","20-24","1"
"5251","登革熱","2011","1","新北市","中和區","M","是","55-59","1"
"5252","登革熱","2011","10","台北市","中山區","M","是","35-39","1"
"5253","登革熱","2011","10","高雄市","鳳山區","M","否","10-14","3"
"5254","登革熱","2011","10","新北市","三重區","F","是","30-34","1"
"5255","登革熱","2011","11","高雄市","三民區","F","否","70+","11"
"5256","登革熱","2011","11","高雄市","左營區","F","否","45-49","1"
"5257","登革熱","2011","11","高雄市","楠梓區","M","否","45-49","1"
"5258","登革熱","2011","11","高雄市","鼓山區","F","否","40-44","1"
"5259","登革熱","2011","11","澎湖縣","馬公市","M","否","35-39","1"
"5260","登革熱","2011","12","高雄市","三民區","M","否","70+","4"
"5261","登革熱","2011","12","高雄市","苓雅區","F","否","45-49","1"
"5262","登革熱","2011","12","高雄市","苓雅區","M","否","15-19","1"
"5263","登革熱","2011","12","高雄市","鼓山區","F","否","45-49","1"
"5264","登革熱","2011","12","新北市","新莊區","M","是","25-29","1"
"5265","登革熱","2011","12","澎湖縣","馬公市","M","否","50-54","1"
"5266","登革熱","2011","2","台南市","仁德區","F","否","65-69","1"
"5267","登革熱","2011","4","台中市","大里區","F","是","35-39","1"
"5268","登革熱","2011","4","彰化縣","田中鎮","F","是","70+","1"
"5269","登革熱","2011","5","高雄市","三民區","F","是","35-39","1"
"5270","登革熱","2011","6","台北市","文山區","M","是","45-49","1"
"5271","登革熱","2011","8","高雄市","苓雅區","F","否","5-9","1"
"5272","登革熱","2011","8","高雄市","苓雅區","F","否","60-64","8"
"5273","登革熱","2011","9","台北市","士林區","F","是","30-34","1"
"5274","登革熱","2011","9","高雄市","苓雅區","F","否","10-14","1"
"5275","登革熱","2012","10","台南市","北區","F","否","10-14","3"
"5276","登革熱","2012","10","台南市","南區","M","否","40-44","2"
"5277","登革熱","2012","10","高雄市","鼓山區","M","否","65-69","1"
"5278","登革熱","2012","10","高雄市","鳳山區","M","否","55-59","1"
"5279","登革熱","2012","11","台南市","中西區","M","否","65-69","2"
"5280","登革熱","2012","11","台南市","北區","F","否","25-29","3"
"5281","登革熱","2012","11","高雄市","林園區","M","否","55-59","3"
"5282","登革熱","2012","11","高雄市","鳳山區","M","否","30-34","1"
"5283","登革熱","2012","12","高雄市","鳳山區","F","否","70+","1"
"5284","登革熱","2012","4","台北市","士林區","F","是","35-39","1"
"5285","登革熱","2012","7","新北市","新店區","M","是","40-44","1"
"5286","登革熱","2012","8","台南市","中西區","F","否","30-34","3"
"5287","登革熱","2012","8","台南市","中西區","M","否","35-39","1"
"5288","登革熱","2012","8","台南市","安南區","F","否","55-59","3"
"5289","登革熱","2012","9","台南市","中西區","M","否","20-24","3"
"5290","登革熱","2012","9","高雄市","鳳山區","F","否","35-39","2"
"5291","登革熱","2013","10","台北市","士林區","M","否","70+","1"
"5292","登革熱","2013","11","台中市","西屯區","F","是","15-19","1"
"5293","登革熱","2013","11","屏東縣","屏東市","M","否","65-69","3"
"5294","登革熱","2013","12","台南市","中西區","M","否","25-29","1"
"5295","登革熱","2013","12","桃園市","中壢區","F","是","45-49","1"
"5296","登革熱","2013","12","高雄市","岡山區","M","是","50-54","1"
"5297","登革熱","2013","2","澎湖縣","馬公市","F","是","15-19","1"
"5298","登革熱","2013","5","屏東縣","屏東市","M","是","20-24","1"
"5299","登革熱","2013","5","屏東縣","春日鄉","F","否","65-69","3"
"5300","登革熱","2013","6","台北市","南港區","M","是","55-59","1"
"5301","登革熱","2013","6","屏東縣","春日鄉","M","否","40-44","1"
"5302","登革熱","2013","7","彰化縣","鹿港鎮","M","是","35-39","1"
"5303","登革熱","2013","8","屏東縣","屏東市","M","否","35-39","1"
"5304","登革熱","2014","1","台北市","信義區","M","是","25-29","1"
"5305","登革熱","2014","10","台南市","東區","M","否","20-24","1"
"5306","登革熱","2014","10","屏東縣","屏東市","F","否","70+","2"
"5307","登革熱","2014","10","高雄市","前金區","M","否","50-54","3"
"5308","登革熱","2014","10","高雄市","鳥松區","M","否","15-19","2"
"5309","登革熱","2014","10","高雄市","新興區","M","否","10-14","6"
"5310","登革熱","2014","10","高雄市","楠梓區","M","否","15-19","2"
"5311","登革熱","2014","10","高雄市","楠梓區","M","否","20-24","3"
"5312","登革熱","2014","10","高雄市","楠梓區","M","否","45-49","2"
"5313","登革熱","2014","10","高雄市","旗津區","F","否","3","1"
"5314","登革熱","2014","10","高雄市","鳳山區","F","否","20-24","15"
"5315","登革熱","2014","10","高雄市","橋頭區","F","否","40-44","1"
"5316","登革熱","2014","10","高雄市","橋頭區","M","否","55-59","1"
"5317","登革熱","2014","10","高雄市","鹽埕區","F","否","15-19","2"
"5318","登革熱","2014","10","高雄市","鹽埕區","F","否","30-34","4"
"5319","登革熱","2014","10","高雄市","鹽埕區","M","否","25-29","2"
"5320","登革熱","2014","10","新北市","樹林區","F","否","35-39","1"
"5321","登革熱","2014","11","台東縣","太麻里鄉","M","否","30-34","1"
"5322","登革熱","2014","11","高雄市","小港區","M","否","10-14","4"
"5323","登革熱","2014","11","高雄市","美濃區","F","否","35-39","1"
"5324","登革熱","2014","11","高雄市","苓雅區","M","否","20-24","13"
"5325","登革熱","2014","11","高雄市","新興區","F","否","15-19","1"
"5326","登革熱","2014","11","高雄市","楠梓區","M","否","70+","3"
"5327","登革熱","2014","11","高雄市","鼓山區","F","否","30-34","13"
"5328","登革熱","2014","11","高雄市","鼓山區","M","否","25-29","11"
"5329","登革熱","2014","11","高雄市","鹽埕區","M","否","65-69","1"
"5330","登革熱","2014","12","台北市","大同區","F","是","60-64","1"
